"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5486","TC_Compare_06 - Verify product title visible before compare","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","5400","product image visible before compare","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","6450","Verify order history login button visible","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","5460","login page opens from order history","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","5260","opening shopping cart page","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","6509","books page has compare button","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","7604","forgot password page opens","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","5591","user registration with valid details","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","4303","TC_Wishlist_13 - Verify shoes product image visible before wishlist","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","7551","using invalid email format","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","4495","registration with invalid email","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","4440","checking cart icon text contains Shopping cart","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","6325","checking product price before adding to cart","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","5326","TC_Product_18 - Verify sort dropdown is visible","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","5325","TC_Product_20 - Verify view mode dropdown is visible","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","4413","checking shopping cart link is on home page","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","5228","opening wishlist page successfully","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","5227","TC_Wishlist_03 - Verify wishlist page URL","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","6211","empty wishlist message is visible","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","5327","wishlist link is visible on home page","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","5260","checking terms of service checkbox is not visible in empty cart","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","6373","compare products page URL","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","6203","header logo visible on wishlist page","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","8021","checkin compare button text","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","6685","opening books category","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","5400","checking currency dropdown","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","4262","TC_Cart_10 - Verify cart page URL","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","5601","opening computers category","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","4290","product price visible before adding to wishlist","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","3292","add to wishlist button visible in books page","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","5332","compare product clear button not visible when list empty","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","4254","checkout button is not visible in empty cart","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","0","checking laptop product price","chromium","2026-05-30","skipped","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","6674","TC_Product_10 - Verify jewelry category opens","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","6395","order history needs password field","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","5583","registration without first name","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","5493","password recovery with invalid email","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","5334","empty compare list message","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","5571","checking shoes section product image","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","0","logout after successful registration","chromium","2026-05-30","skipped","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","10507","Verify orders page redirects to login page","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","6455","order history needs email field","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","5347","checking header logo image on cart page","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","5472","searching empty input","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","5436","login link is visible on home page","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","8314","TC_Wishlist_09 - Verify product title visible before adding to wishlist","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
